id,name,country_code
71848_85508,YAN FEI CHEN /  LIANG CHING SUN,TPE
71869_88126,RIZKY HIDAYAT /  FRENGKY WIJAYA PUTRA,AUS
71963_98084,APOORVA GAHLAWAT /  SAKSHI GAHLAWAT,IND
72084_61615,PATRICK VOLKMANN /  FRANZISKA VOLKMANN,GER
72267_94165,ISHAAN BHATNAGAR /  TANISHA CRASTO,IND
72280,PORNPICHA CHOEIKEEWONG,THA
72435_70500,SATWIKSAIRAJ RANKIREDDY /  CHIRAG SHETTY,IND
72466_61746,ADHAM HATEM ELGAMAL /  DOHA HANY,EGY
72517_58779,LEE ZHI QING /  SUE XIN TIO,MAS
72646_87473,WANG CHAN /  SHIN SEUNG CHAN,KOR
72675_63539,HOO PANG RON /  TEOH MEI XING,MAS
72675_80605,HOO PANG RON /  CHENG SU YIN,MAS
72782_56711,MARWAN FAZA /  JESSICA MAYA RISMAWARDANI,INA
72782_79077,MARWAN FAZA /  AISYAH SALSABILA PUTRI PRANATA,INA
72885,CHRISTO POPOV,FRA
72885_61628,CHRISTO POPOV /  TOMA JUNIOR POPOV,FRA
72986_63846,KOCEILA MAMMERI /  YOUCEF SABRI MEDEL,ALG
72986_78133,KOCEILA MAMMERI /  TANINA VIOLETTE MAMMERI,ALG
72989_56237,PICHAMON PHATCHARAPHISUTSIN /  NANNAPAS SUKKLAD,THA
73013_59275,JIN YU JIA /  WONG JIA YING CRYSTAL,SGP
73015,KRISTIN KUUBA,EST
73173,PUSARLA V. SINDHU,IND
73323_88264,JULIEN MAIO /  WILLIAM VILLEGER,FRA
73323_98329,JULIEN MAIO /  LEA PALERMO,FRA
73442,JONATAN CHRISTIE,INA
73474_85808,LIN BING-WEI /  LIN CHIH-CHUN,TPE
73474_88829,LIN BING-WEI /  SU CHING HENG,TPE
73489_74833,NGE JOO JIE /  JOHANN PRAJOGO,SGP
73857_76370,ANDREAS SØNDERGAARD /  IBEN BERGSTEIN,DEN
73857_81705,ANDREAS SØNDERGAARD /  JESPER TOFT,DEN
73899_63229,TEA MARGUERITTE /  FLAVIE VALLET,FRA
